,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
768,16,1,T,F,F,F,F,F,T,,N,N,,
769,6,1,T,F,F,F,F,F,T,,N,N,,
770,2,1,T,F,F,F,F,F,T,,N,N,,
771,18,1,T,F,F,F,F,F,T,,N,N,,
772,10,1,T,F,F,F,F,F,T,,N,N,,
773,0,1,T,F,F,F,F,F,T,,N,N,,
774,45,1,T,F,F,F,T,F,F,,Y,N,,
776,27,1,T,F,F,F,F,T,F,,N,N,,
777,10,1,T,F,F,F,F,F,T,,N,N,,
778,7,1,T,F,F,F,F,F,T,,N,N,,
779,0,1,T,F,F,F,F,F,T,,N,N,,
782,1,1,T,F,F,F,F,F,T,,N,N,,
783,1,1,T,F,F,F,F,F,T,,N,N,,
786,11,1,T,F,F,F,T,F,F,,Y,N,,
787,5,1,T,F,F,F,F,T,F,,N,N,,
788,1,1,T,F,F,F,F,F,T,,N,N,,
789,9,1,T,F,F,F,F,T,F,,N,N,,
790,1,1,T,F,F,F,F,F,T,,N,N,,
791,50,1,T,F,F,F,T,F,F,,Y,N,,
792,8,1,T,F,F,F,F,T,F,,N,N,,
793,8,1,T,F,F,F,T,F,F,,Y,N,,
794,7,1,T,F,F,F,F,T,F,,N,N,,
795,2,1,T,F,F,F,F,F,T,,N,N,,
796,0,1,T,F,F,F,F,F,T,,N,N,,
798,1,1,T,F,F,F,F,F,T,,N,N,,
799,9,1,T,F,F,F,F,F,T,,N,N,,
801,50,1,T,F,F,F,T,F,F,,Y,N,,
802,5,1,T,F,F,F,F,T,F,,N,N,,
803,11,1,T,F,F,F,F,T,F,,N,N,,
804,8,1,T,F,F,F,F,F,T,,N,N,,
805,0,1,T,F,F,F,F,F,T,,N,N,,
806,8,1,T,F,F,F,F,F,T,,N,N,,
809,1,1,T,F,F,F,F,F,T,,N,N,,
812,74,1,T,F,F,F,F,F,T,,N,N,,
813,29,1,T,F,F,F,F,F,T,,N,N,,
816,17,1,T,F,F,F,T,F,F,,Y,N,,
817,8,1,T,F,F,F,F,T,F,,N,N,,
818,24,1,T,F,F,F,T,F,F,,Y,N,,
819,21,1,T,F,F,F,T,F,F,,Y,N,,
820,2,1,T,F,F,F,F,F,T,,N,N,,
821,3,1,T,F,F,F,F,F,T,,N,N,,
822,49,1,T,F,F,F,T,F,F,,Y,N,,
823,1,1,T,F,F,F,F,F,T,,N,N,,
824,4,1,T,F,F,F,F,F,T,,N,N,,
